11,price,square,
383000,2.5,383,
458500,2,458.5,
226500,1.75,226.5,
599000,2.5,599,
637850,3.25,637.85,
515000,2.5,515,
224950,2.5,224.95,
210000,1,210,
760000,3.5,760,
635000,2.5,635,
290000,2.25,290,
1750000,3.25,1750,
380000,1,380,
239900,1.75,239.9,
122000,1,122,
2350000,2.25,2350,
220000,1,220,
265000,1,265,
229000,2,229,
502000,2.25,502,
399950,1,399.95,
598555,2.5,598.555,
175000,1.75,175,
450000,1,450,
342500,2,342.5,
325000,1,325,
920000,2.75,920,
625504,2.25,625.504,
725000,2.5,725,
569950,4.25,569.95,
446950,2.5,446.95,
391000,2.25,391,
439000,2.5,439,
675000,3.5,675,
1299890,4,1299.89,
768000,2.75,768,
570000,2.5,570,
152000,1,152,
775000,2.5,775,
372500,2.25,372.5,
270000,2.25,270,
855000,2.25,855,
399000,2.5,399,
457000,2.5,457,
280000,2.5,280,
750000,3.5,750,
100000,1,100,
840000,2.75,840,
160134,1.5,160.134,
235000,1.75,235,
310000,2.75,310,
639900,2.5,639.9,
440000,2.5,440,
842500,2.25,842.5,
289000,2.5,289,
412500,2.25,412.5,
452000,2.5,452,
535000,2.75,535,
355000,1.75,355,
380000,1.75,380,
465000,2.5,465,
405000,1,405,
515000,3,515,
343000,3.25,343,
320000,1,320,
210000,1,210,
1776000,3.25,1776,
375000,2.25,375,
199000,1,199,
1200000,2.25,1200,
700500,2.5,700.5,
275000,1.5,275,
333000,2,333,
548000,1,548,
990000,2.5,990,
499000,1.75,499,
430000,2.25,430,
490000,2.25,490,
395000,1,395,
171000,2,171,
355000,1.75,355,
434500,1.75,434.5,
810000,2.75,810,
471000,2.5,471,
372000,2.5,372,
530000,1,530,
240000,1.75,240,
910000,2.5,910,
770000,3.5,770,
335000,1,335,
860000,3.25,860,
287500,2,287.5,
402000,1.75,402,
205950,1,205.95,
2230000,3.5,2230,
790000,3,790,
265000,1,265,
440000,2.5,440,
890000,3.25,890,
309000,2.75,309,
390000,3.75,390,
625000,1.75,625,
200000,1,200,
320000,2.5,320,
372000,1,372,
280000,2,280,
330000,3,330,
820000,2.5,820,
342000,2,342,
340000,2,340,
580000,2.25,580,
345000,1,345,
606000,2.5,606,
399000,2.5,399,
529500,2.25,529.5,
355000,1.75,355,
235000,1,235,
210000,1,210,
335000,1.75,335,
308000,2.5,308,
250200,1.5,250.2,
299500,1.75,299.5,
525000,3.25,525,
532000,1.75,532,
525000,2.5,525,
149000,1,149,
1795000,3.25,1795,
519900,2.5,519.9,
405000,1,405,
349950,2.5,349.95,
570000,1,570,
555000,2,555,
590000,3.5,590,
560000,3.25,560,
175000,1,175,
1045000,3,1045,
265000,1.75,265,
285000,2.5,285,
515000,2.5,515,
495000,2.5,495,
565000,2.25,565,
360000,2,360,
685000,2.5,685,
239950,1.75,239.95,
2500000,4.5,2500,
290000,2,290,
960000,2.5,960,
304400,2.75,304.4,
325000,2,325,
300000,1,300,
630000,2.5,630,
565000,3.25,565,
285000,2.5,285,
495000,1,495,
261000,1.5,261,
320000,2.75,320,
444500,2.5,444.5,
230000,1.5,230,
461100,2.25,461.1,
332888,2.5,332.888,
1225000,3.5,1225,
380000,1.75,380,
426000,2.5,426,
373000,2,373,
455000,2.5,455,
202000,1,202,
540000,2.5,540,
354000,1.75,354,
410000,1,410,
200000,1,200,
700000,1,700,
374950,2.5,374.95,
665000,2,665,
355000,1.75,355,
345000,1,345,
1298890,2.25,1298.89,
718000,1,718,
245000,2,245,
680000,3,680,
408000,2.75,408,
355000,2.75,355,
240000,1,240,
515000,2.25,515,
570000,1.75,570,
310000,1,310,
739888,2.5,739.888,
213000,1,213,
649000,3.25,649,
328000,2,328,
429500,2.75,429.5,
505000,2.5,505,
729000,4.25,729,
450000,3.25,450,
475000,2.5,475,
1610000,2.75,1610,
1225000,2.25,1225,
250800,1.75,250.8,
511000,2.5,511,
969000,2,969,
315000,2.5,315,
291375,2.5,291.375,
398096,2.5,398.096,
243500,2.5,243.5,
470000,2.5,470,
611000,2.5,611,
880000,3.25,880,
305000,2.5,305,
525000,1,525,
542000,2.5,542,
3400000,4.5,3400,
375000,1.75,375,
730000,2.5,730,
762400,1.75,762.4,
499431,2.75,499.431,
565000,2.5,565,
212000,1.75,212,
324000,2.5,324,
898000,1.5,898,
410000,1.75,410,
781000,2.5,781,
530000,2.5,530,
561600,2.5,561.6,
375000,1.75,375,
355000,1.5,355,
521000,1.75,521,
206000,1,206,
298900,2.5,298.9,
458000,2.5,458,
449000,1.75,449,
469000,1.75,469,
725000,2.75,725,
558000,2.25,558,
1190000,3.5,1190,
325000,2.5,325,
875000,2,875,
267500,1.75,267.5,
906000,2.5,906,
360000,1,360,
514000,1.75,514,
234000,2,234,
200000,1,200,
299950,2.5,299.95,
500000,2,500,
1050000,3.25,1050,
285000,1.75,285,
667500,2,667.5,
242000,2.25,242,
779380,2.5,779.38,
837700,2.75,837.7,
850000,3.25,850,
215500,2,215.5,
655000,2.5,655,
556000,2.5,556,
360500,1,360.5,
460500,1,460.5,
610000,2.5,610,
427500,1,427.5,
640000,3.5,640,
399950,2.5,399.95,
310000,1,310,
216650,3.5,216.65,
485000,2.5,485,
536751,1.75,536.751,
695000,2,695,
395000,2,395,
539000,2.25,539,
455000,1.5,455,
395000,1,395,
555000,2.5,555,
514500,2.5,514.5,
285000,2,285,
1125000,1.75,1125,
230000,1,230,
272000,2.5,272,
368000,2.5,368,
354950,2.75,354.95,
569000,2.25,569,
400000,2,400,
599000,2.75,599,
900000,2.25,900,
325000,2.75,325,
319000,2.5,319,
447000,2.5,447,
950000,1.75,950,
325000,1.75,325,
372500,1,372.5,
400000,2.25,400,
370000,2.5,370,
975000,3,975,
465000,3,465,
705000,2.5,705,
1225000,2.5,1225,
545000,2.5,545,
360000,1.25,360,
952000,2.5,952,
998500,1,998.5,
326500,1,326.5,
402000,2.5,402,
215000,1,215,
500000,2.5,500,
575000,2.75,575,
271675,1.75,271.675,
360000,1,360,
186950,2,186.95,
302000,2.5,302,
309000,1,309,
219000,1,219,
310000,1,310,
577000,2.25,577,
400000,2.5,400,
150000,1,150,
550000,1,550,
995000,2,995,
1940000,3.5,1940,
665000,2,665,
535000,2.5,535,
325000,1.5,325,
600000,1.5,600,
306500,1,306.5,
402000,1,402,
189950,1,189.95,
250000,1.5,250,
329999,2.75,329.999,
659000,2.5,659,
406500,1,406.5,
275000,2.25,275,
502500,2.5,502.5,
162248,1,162.248,
290500,2.5,290.5,
558000,2,558,
365000,1,365,
429950,1.75,429.95,
320000,1,320,
295000,2.5,295,
598850,2.5,598.85,
723000,3.5,723,
525000,2.25,525,
328950,1.75,328.95,
540000,3.5,540,
495000,2,495,
415000,2.25,415,
1000000,2.25,1000,
695000,2.5,695,
300523,2.5,300.523,
375000,2,375,
661000,1.75,661,
350500,2.5,350.5,
539500,2.25,539.5,
392500,1,392.5,
539000,2,539,
750000,2.5,750,
300000,3,300,
330000,2,330,
830000,3.5,830,
600000,2.25,600,
311000,2.5,311,
320000,1,320,
874000,2.75,874,
784500,5,784.5,
544000,1.5,544,
700000,1.75,700,
220000,1.5,220,
550000,2.5,550,
295832,1,295.832,
1385000,3,1385,
326000,1.5,326,
449950,2.25,449.95,
216600,1.75,216.6,
285000,2.5,285,
265000,1,265,
250000,1.75,250,
650000,2.5,650,
415000,2.5,415,
250000,1,250,
770000,2.5,770,
344000,2.5,344,
940000,2.75,940,
960000,2.25,960,
155000,1,155,
257500,2.25,257.5,
1395710,2.25,1395.71,
237100,1.75,237.1,
400000,1,400,
798500,3,798.5,
486000,3,486,
315000,1,315,
610000,3.25,610,
273000,2.25,273,
980000,3.25,980,
315000,1,315,
515000,2.5,515,
599950,2.25,599.95,
575000,2.25,575,
444950,2.5,444.95,
650000,2.5,650,
227500,1,227.5,
280000,1.75,280,
429900,3.25,429.9,
320000,1.75,320,
269000,2,269,
398000,2.5,398,
224000,0.75,224,
891000,2,891,
1443920,3,1443.92,
798000,3.25,798,
178500,1,178.5,
375000,3.25,375,
1325000,2.25,1325,
902000,2.75,902,
469995,2.5,469.995,
645000,2.5,645,
272500,1.75,272.5,
260600,1,260.6,
315500,1,315.5,
526000,1.75,526,
400000,2,400,
315000,1,315,
463000,1.75,463,
3710000,3.5,3710,
147500,1.5,147.5,
380000,1.5,380,
440000,1,440,
830000,3.5,830,
1255000,2.5,1255,
498000,1.5,498,
180000,1,180,
710500,1.75,710.5,
875000,3,875,
206000,1.5,206,
571000,2.5,571,
200000,2,200,
620000,2.5,620,
266000,2.5,266,
150000,1,150,
1775000,3.25,1775,
660000,1.75,660,
825000,2.5,825,
550000,1.5,550,
754000,1.75,754,
675000,2.5,675,
378000,1.5,378,
453000,3,453,
299000,2.5,299,
500000,1.5,500,
283000,2.25,283,
419000,2.5,419,
655000,2,655,
505000,2,505,
445434,1,445.434,
595000,2.5,595,
535000,2.75,535,
386500,2.25,386.5,
775000,1,775,
231500,2.25,231.5,
525000,2.5,525,
324500,2.5,324.5,
819000,2.5,819,
399950,1,399.95,
675900,2.5,675.9,
701000,1.5,701,
410000,2,410,
589000,2.25,589,
665000,3,665,
810000,2.5,810,
327000,1.5,327,
353000,2.5,353,
1375000,1.5,1375,
460000,1.75,460,
300000,1.75,300,
511000,1,511,
270000,2,270,
680000,2.75,680,
436000,2.5,436,
419000,2.5,419,
223000,1,223,
337000,1,337,
424500,1.5,424.5,
465000,1,465,
464000,3,464,
330000,2,330,
579000,2.75,579,
253779,2,253.779,
324000,2,324,
424900,2.75,424.9,
333500,1.75,333.5,
520000,1.75,520,
670000,2,670,
329780,2.5,329.78,
314900,1.75,314.9,
870000,3,870,
385000,1.75,385,
500000,2.5,500,
341000,2.5,341,
420000,2,420,
310000,1.5,310,
465000,2.5,465,
900000,1,900,
413100,2.25,413.1,
1940000,5.75,1940,
595000,2.5,595,
819900,2.75,819.9,
499000,1.5,499,
835000,2,835,
599000,2.5,599,
620000,2.25,620,
218000,1,218,
325000,1,325,
811000,1.75,811,
760000,2.5,760,
219900,1,219.9,
245000,2.5,245,
349900,2.5,349.9,
325000,2,325,
429000,2.5,429,
255000,1,255,
420000,2.5,420,
1050000,1.75,1050,
320000,2.5,320,
597000,2.5,597,
455000,2.25,455,
214000,2.5,214,
201000,1,201,
630000,2,630,
240000,1,240,
303000,2.5,303,
305950,2.5,305.95,
269900,1.5,269.9,
610000,2.5,610,
292500,2.5,292.5,
970000,2.25,970,
677000,2,677,
350000,1.75,350,
425000,2.5,425,
589000,2.5,589,
549000,2.5,549,
479000,2.5,479,
215000,2.25,215,
938000,2.5,938,
475000,1,475,
410000,2.5,410,
434400,1.75,434.4,
239000,2,239,
425000,2.5,425,
425000,2,425,
462500,2.5,462.5,
2700000,2.75,2700,
421000,1.5,421,
760000,2,760,
209000,1,209,
377000,2,377,
212000,1.75,212,
258950,1.75,258.95,
395000,1.75,395,
232500,1,232.5,
549950,2.5,549.95,
158550,1.5,158.55,
697000,2.5,697,
487600,2.5,487.6,
910000,3.5,910,
381156,1,381.156,
243000,1,243,
339000,2.5,339,
339000,1.5,339,
252000,1.5,252,
335000,2.5,335,
490500,2,490.5,
354901,2.5,354.901,
776000,2,776,
1100000,2,1100,
289000,1,289,
800000,2.5,800,
667750,1,667.75,
411000,1.75,411,
942500,3.25,942.5,
208000,2,208,
325088,1,325.088,
604000,3.5,604,
499100,1.5,499.1,
362000,2.5,362,
368500,1.75,368.5,
605000,1.75,605,
630000,1.75,630,
249000,1.75,249,
535000,2.5,535,
330000,2.25,330,
359000,1.5,359,
645000,1.75,645,
465000,2.25,465,
291500,2.5,291.5,
459000,1.75,459,
750000,3.25,750,
738000,2.5,738,
465000,2.5,465,
365000,1.75,365,
510000,2.75,510,
505000,2.25,505,
267500,3.5,267.5,
560000,2.5,560,
585000,1.75,585,
280000,2.5,280,
334200,1.75,334.2,
3400000,4,3400,
238000,2.5,238,
985000,2.25,985,
301000,1.5,301,
342000,1,342,
690000,1.75,690,
300000,2.5,300,
256000,2.5,256,
270000,2,270,
689000,2.5,689,
130000,1,130,
515000,1.75,515,
550000,2,550,
749950,2.5,749.95,
325000,1,325,
520000,1.75,520,
165000,1,165,
410500,1,410.5,
450000,2.25,450,
479950,2.25,479.95,
450000,1,450,
415000,2.5,415,
500000,2.25,500,
715000,1.75,715,
289950,2.25,289.95,
342500,2.5,342.5,
410000,2.25,410,
440000,2,440,
249000,1.75,249,
472000,2.5,472,
235000,1.5,235,
774900,1,774.9,
452000,1.75,452,
339000,1.5,339,
395000,1,395,
633000,2.5,633,
267500,1,267.5,
392500,1,392.5,
889000,3.5,889,
720000,2.5,720,
415000,2.5,415,
260000,1.75,260,
690000,1.75,690,
740000,1.75,740,
255000,1,255,
500000,2.25,500,
535900,2.25,535.9,
275000,1,275,
1305000,3.5,1305,
575000,3,575,
749000,1.5,749,
395000,1,395,
1190000,2,1190,
218000,1,218,
288000,2.5,288,
339950,1,339.95,
561000,2.5,561,
220000,2.5,220,
250000,1.5,250,
425000,2.75,425,
878000,2.5,878,
234900,1,234.9,
240000,1.5,240,
366500,2.75,366.5,
229900,1,229.9,
739000,4.5,739,
476500,1,476.5,
555000,2.75,555,
743700,2.5,743.7,
650000,2.5,650,
290000,1,290,
352000,2.5,352,
234999,1,234.999,
570000,1.75,570,
1260000,3.5,1260,
218000,1,218,
459000,2.25,459,
550000,2.25,550,
465000,2.5,465,
419950,1.75,419.95,
610000,3.5,610,
333000,2,333,
263500,1.75,263.5,
425000,2,425,
419000,3.25,419,
749000,2.5,749,
265000,2.5,265,
575000,2.5,575,
509007,1.75,509.007,
525000,2.75,525,
480000,3.5,480,
550000,2.5,550,
316000,2.25,316,
250000,1.75,250,
360000,1.75,360,
244000,1,244,
290000,1,290,
462608,2.5,462.608,
441000,1.5,441,
437000,2,437,
270000,1,270,
1495000,3.75,1495,
700000,1,700,
465000,2.25,465,
264000,1.75,264,
775000,2.5,775,
189000,1,189,
361500,2.75,361.5,
374950,2.5,374.95,
1550000,4,1550,
880000,2.5,880,
489950,2.25,489.95,
737500,1.75,737.5,
415000,1,415,
229000,1,229,
310000,1,310,
299950,2.5,299.95,
765000,3,765,
1328000,3,1328,
430000,3,430,
364000,1,364,
815000,1.75,815,
476000,2.25,476,
457500,1,457.5,
945800,2.75,945.8,
539950,2.5,539.95,
585000,2.5,585,
294900,2.25,294.9,
339000,2.5,339,
390000,1,390,
460000,2.5,460,
96500,1,96.5,
310000,0.75,310,
375000,1,375,
347000,1,347,
227950,1.5,227.95,
500000,1,500,
600000,1.75,600,
840000,2.5,840,
388000,3.25,388,
322000,2,322,
242500,1.5,242.5,
361600,1,361.6,
316500,1.75,316.5,
647500,1.75,647.5,
375000,3.25,375,
540000,1,540,
275000,2.5,275,
1650000,2.5,1650,
600000,1,600,
260000,1.5,260,
577000,1.75,577,
475000,3.25,475,
525000,2.75,525,
391000,2.5,391,
950000,4,950,
1400000,2.25,1400,
750000,3.75,750,
322500,1,322.5,
490000,1.75,490,
124000,0.75,124,
286950,2.5,286.95,
799000,2,799,
350000,1.75,350,
570000,2.5,570,
425000,2.25,425,
160000,1,160,
452000,2.25,452,
249900,1,249.9,
710000,1.75,710,
389000,2.5,389,
805000,2.5,805,
310000,1.5,310,
649950,2,649.95,
310000,1,310,
962000,2.75,962,
240000,1.75,240,
510000,1.75,510,
687000,3.25,687,
620000,2.5,620,
1505000,2.5,1505,
1075000,3.25,1075,
575000,1.75,575,
290000,1.5,290,
333000,2.5,333,
850000,2.5,850,
1205000,3,1205,
937500,4,937.5,
641000,2.5,641,
281000,1,281,
450000,3.5,450,
285000,2.25,285,
220000,1,220,
300000,1.75,300,
1326000,2.25,1326,
250000,1.75,250,
345000,1.75,345,
260000,1,260,
785950,3,785.95,
775000,2.5,775,
499950,1,499.95,
480000,2.25,480,
448175,2,448.175,
525000,1.5,525,
334500,1.5,334.5,
227490,1.75,227.49,
569950,1,569.95,
1059000,3.5,1059,
332220,1.5,332.22,
95000,1,95,
450000,1.75,450,
415000,1.75,415,
402500,1,402.5,
279000,2.5,279,
600000,2.25,600,
395000,1.75,395,
800000,2.75,800,
430000,1,430,
375000,2.5,375,
475000,2.5,475,
2630000,4.75,2630,
577000,2.5,577,
402000,2.75,402,
490000,1,490,
1475000,4,1475,
229999,2,229.999,
287000,1.5,287,
530000,1.75,530,
648360,1.75,648.36,
338000,1.5,338,
355000,2,355,
369950,2.5,369.95,
968060,2.5,968.06,
650000,1.75,650,
318989,2.25,318.989,
578500,1,578.5,
199950,1,199.95,
304000,2.5,304,
710000,1.75,710,
432000,2,432,
450000,1,450,
999950,2.25,999.95,
500000,2.5,500,
680000,1.75,680,
663500,1,663.5,
585000,2,585,
895000,2.25,895,
450000,2.25,450,
967000,2.5,967,
510000,2.5,510,
250000,1,250,
419500,2.5,419.5,
515000,1.75,515,
305000,2.25,305,
615000,2.5,615,
580000,2.5,580,
335000,2.5,335,
675000,1.75,675,
658588,2.25,658.588,
240000,2,240,
275000,2.75,275,
382495,2.5,382.495,
374000,1,374,
400000,2.5,400,
480000,1,480,
440000,1,440,
760000,2.5,760,
533000,2.75,533,
645000,2.5,645,
184000,1,184,
311000,2.5,311,
418395,2.5,418.395,
290000,1,290,
674600,2.5,674.6,
330000,1,330,
772000,2.5,772,
570000,2,570,
618000,1,618,
305000,1.5,305,
450000,1.75,450,
800000,2.5,800,
293000,1,293,
388500,2.5,388.5,
389000,1.75,389,
510000,3,510,
150000,1,150,
252000,1,252,
375000,1,375,
491234,2.5,491.234,
254000,2,254,
320000,1.75,320,
1300000,2.75,1300,
794154,2,794.154,
825000,3.5,825,
267500,1.5,267.5,
573000,2.25,573,
549900,1.75,549.9,
649000,1.75,649,
216000,1,216,
261500,1,261.5,
558000,2.5,558,
575000,2.5,575,
405000,1.5,405,
735000,2.5,735,
464900,2.25,464.9,
414000,1,414,
337500,2.25,337.5,
739999,2.75,739.999,
650000,2.25,650,
390000,1.75,390,
350000,3,350,
1245000,3.25,1245,
731000,2.5,731,
270000,2,270,
313100,2,313.1,
190000,1,190,
775000,2.5,775,
220000,2.5,220,
383900,1.5,383.9,
344000,2.25,344,
240000,1.5,240,
255000,1,255,
595000,2.5,595,
497300,2.75,497.3,
315000,1,315,
370000,2.25,370,
1450000,3.5,1450,
700000,2.5,700,
572000,2.25,572,
1250000,2.25,1250,
280000,2.5,280,
614285,2.75,614.285,
560000,2.5,560,
392000,1,392,
287000,2,287,
400000,1.75,400,
699999,2,699.999,
175000,2.5,175,
995000,3.25,995,
675000,3,675,
480000,3.75,480,
267000,1.75,267,
530000,2.5,530,
903000,2.75,903,
300000,2.5,300,
540000,2.5,540,
309000,2.5,309,
724000,1,724,
750000,2.5,750,
325000,2.5,325,
422000,1,422,
390000,1,390,
356000,2.25,356,
1525000,3.75,1525,
856000,1.5,856,
380000,1.75,380,
1260000,2,1260,
320000,1.75,320,
338900,2.5,338.9,
190000,1,190,
950000,2.5,950,
230000,1.5,230,
436300,2,436.3,
579000,1.75,579,
249900,1.75,249.9,
538500,3.5,538.5,
530200,2.5,530.2,
188000,1.75,188,
710000,1.5,710,
265000,1.75,265,
508500,1.5,508.5,
1620000,3,1620,
625000,3.5,625,
650000,2.5,650,
300000,1,300,
244000,1,244,
725000,2.5,725,
750000,2,750,
245000,1.75,245,
212000,1,212,
780000,2.75,780,
905000,3,905,
615000,2.5,615,
425000,1,425,
825050,3.25,825.05,
606000,2.5,606,
355000,2.75,355,
245000,1,245,
241500,1,241.5,
379000,1,379,
270000,2.5,270,
661254,4,661.254,
865950,3.5,865.95,
825000,1,825,
270000,1,270,
275000,1.5,275,
122000,1,122,
540000,2.5,540,
385000,1.75,385,
667000,2.5,667,
260000,2,260,
1650000,2.75,1650,
423000,1.75,423,
265000,1,265,
425000,2.5,425,
605000,4,605,
710000,2.5,710,
299995,1,299.995,
1350000,4.75,1350,
575000,2.5,575,
760000,2.75,760,
755000,2.5,755,
310000,1,310,
420000,2.5,420,
723000,2.25,723,
475000,1.75,475,
639000,2.5,639,
338500,1.75,338.5,
536000,2.25,536,
429000,2.5,429,
725000,2.5,725,
450000,2,450,
810000,2.5,810,
1087500,2,1087.5,
560000,1.75,560,
600000,1.75,600,
359000,2.5,359,
832500,4,832.5,
370000,2.25,370,
300000,2.25,300,
307000,1.75,307,
705000,1.75,705,
345000,1.5,345,
369000,1.5,369,
942500,3.5,942.5,
329950,2.5,329.95,
346150,2,346.15,
279900,1.75,279.9,
417400,3,417.4,
1760000,5,1760,
299950,1,299.95,
395000,2,395,
340000,2.25,340,
354000,1.75,354,
415000,1.5,415,
510000,2,510,
450000,2.5,450,
717550,3.5,717.55,
249900,2.5,249.9,
400000,2.5,400,
605000,2.75,605,
452500,2.5,452.5,
609000,2.5,609,
225000,2,225,
775000,1,775,
384500,2.5,384.5,
930000,1.75,930,
785000,3,785,
394950,2.5,394.95,
545000,3.5,545,
235000,1,235,
999000,2.75,999,
525000,2.5,525,
438000,2.25,438,
575000,1,575,
319000,2.25,319,
750000,2.5,750,
540000,2.5,540,
346000,3.25,346,
286651,2.5,286.651,
432250,2.25,432.25,
515000,2,515,
541500,1.75,541.5,
1365000,2.5,1365,
613000,2,613,
313000,1.75,313,
265000,4,265,
310000,2.5,310,
660000,2,660,
375000,1,375,
411753,2.5,411.753,
304000,1,304,
425000,2.25,425,
337000,2.5,337,
205000,1.5,205,
735000,3,735,
480000,1,480,
500000,2.5,500,
859000,2.5,859,
1415000,3.25,1415,
440000,3.25,440,
680000,3.25,680,
285000,1,285,
695000,2.75,695,
232000,1,232,
495000,1.75,495,
215000,1,215,
405000,2.5,405,
770000,2,770,
540000,2.5,540,
424950,1.75,424.95,
785000,2.75,785,
690000,2.5,690,
490000,2.75,490,
261000,1,261,
583800,2.5,583.8,
608000,2.25,608,
505000,1.75,505,
635000,2.5,635,
445000,2,445,
199500,1,199.5,
855000,1.5,855,
715000,2.5,715,
401000,1.75,401,
277500,2,277.5,
614306,2.25,614.306,
804000,2.5,804,
368000,1.5,368,
401000,1,401,
235000,1.75,235,
708000,1,708,
225000,2.5,225,
389800,1.75,389.8,
380000,3.25,380,
510000,2.5,510,
271900,1.75,271.9,
347000,1.5,347,
1030000,3.25,1030,
562000,2.5,562,
500000,1,500,
585000,1,585,
346500,1,346.5,
599000,2.5,599,
220000,1.5,220,
225000,1.75,225,
360000,2,360,
337000,2.5,337,
314500,1.75,314.5,
355000,0.75,355,
482000,1.75,482,
459950,2.5,459.95,
540000,1,540,
605000,2.25,605,
287000,2.25,287,
885000,3.75,885,
175000,1,175,
950000,2.5,950,
420000,2.5,420,
482500,3,482.5,
435000,3,435,
620000,2.5,620,
415000,1.5,415,
310000,2.5,310,
390000,3,390,
740000,2.5,740,
306000,1,306,
300000,1,300,
1655000,2.25,1655,
532000,2.5,532,
920000,1.75,920,
490000,2.25,490,
580000,2,580,
362000,2.75,362,
320000,1.5,320,
514950,2.25,514.95,
463000,1,463,
492000,1,492,
